candidate_id,insurer,product,uin,policy_version,rule_type,rule_name,condition,value,unit,applies_to,exception,source_document,source_page,source_section,source_text,extraction_method,confidence,review_status,provenance
SA26-001,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,INITIAL_WAITING_PERIOD,30-day initial waiting period,From first policy commencement date,30,DAYS,all illnesses,Claims arising due to an accident; does not apply if Insured Person has continuous coverage for more than twelve months,STAR_ASSURE_2026_CIS,7,Excl 03,"Expenses related to the treatment of any illness within 30 days from the first policy commencement date shall be excluded except claims arising due to an accident, provided the same are covered.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
SA26-002,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,SPECIFIED_DISEASE_WAITING_PERIOD,Specified disease/procedure waiting period,From date of inception of first policy,24,MONTHS,"Listed conditions incl. cataract, hernia, joint replacement, hysterectomy and others per Excl 02 list",Not applicable for claims arising due to an accident,STAR_ASSURE_2026_CIS,7,Excl 02,"Expenses related to the treatment of the listed Conditions, surgeries/treatments shall be excluded until the expiry of 24 months of continuous coverage after the date of inception of the first policy with us.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
SA26-003,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,PED_WAITING_PERIOD,PED waiting period (1yr/2yr term),From date of inception of first policy,36,MONTHS,Pre-existing disease and direct complications; applicable for 1 year and 2 year Policy Term,Reduced to extent of prior coverage if continuously covered per IRDAI portability norms,STAR_ASSURE_2026_CIS,9,Excl 01,"Applicable for 1 year and 2 year Policy Term: Expenses related to the treatment of a pre-existing disease (PED) and its direct complications shall be excluded until the expiry of 36 months of continuous coverage after the date of inception of the first policy with insurer.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
SA26-004,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,PED_WAITING_PERIOD,PED waiting period (3yr term),From date of inception of first policy,30,MONTHS,Pre-existing disease and direct complications; applicable for 3 year Policy Term,Reduced to extent of prior coverage if continuously covered per IRDAI portability norms,STAR_ASSURE_2026_CIS,9,Excl 01,"Applicable for 3 year Policy Term: Expenses related to the treatment of a pre-existing disease (PED) and its direct complications shall be excluded until the expiry of 30 months of continuous coverage after the date of inception of the first policy with insurer.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
SA26-005,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,ROOM_RENT_LIMIT,Room rent criteria by Sum Insured band,Sum Insured Rs.5/7.5 Lakhs,1,PERCENT_OF_SUM_INSURED_PER_DAY,Room Boarding and Nursing charges,Sum Insured 10 Lakhs and above uses Any Room criteria instead,STAR_ASSURE_2026_CIS,10,B(1)(i),"Sum Insured 5/7.5 Lakhs: Room Rent Criteria = Up to 1% of Sum Insured per day.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
SA26-006,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,SUB_LIMIT,Home Care Treatment sub-limit,Per Policy Year,10,PERCENT_OF_SUM_INSURED_MAX_RS_5_LAKHS,Home Care Treatment,NOT_SPECIFIED_IN_SOURCE,STAR_ASSURE_2026_CIS,2,B(10),"Home Care Treatment: Payable up to 10% of the Sum Insured subject to maximum of Rs.5 lakhs in a Policy Year, for treatment availed by the Insured Person at home, only for the specified conditions.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
SA26-007,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,SUB_LIMIT,Air Ambulance sub-limit,Per Policy Year,10,PERCENT_OF_SUM_INSURED,Air Ambulance,NOT_SPECIFIED_IN_SOURCE,STAR_ASSURE_2026_CIS,10,B(8),"Air Ambulance: Covered up to 10% of Sum Insured per Policy Year.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
SA26-008,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,CO_PAYMENT,Senior entry co-payment,Insured person age at entry 61 years and above,10,PERCENT,Every claim amount for fresh and renewal policies,NOT_SPECIFIED_IN_SOURCE,STAR_ASSURE_2026_CIS,12,B(29),"Co-payment: 10% of each and every claim amount for fresh as well as renewal policies for insured person whose age at the time of entry is 61 years and above.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
SA26-009,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,DEDUCTIBLE,Optional aggregate deductible (Up to Rs.20L SI),Sum Insured up to Rs.20 lakhs,50000 or 100000,RS,Optional cover chosen by policyholder,Only if opted; not automatic,STAR_ASSURE_2026_CIS,14,B(31),"Sum Insured Up to Rs.20 Lakhs: Rs.50,000/- -> 45% discount, Rs.1,00,000/- -> 55% discount.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
SA26-010,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,CLAIM_FILING_DEADLINE,Reimbursement filing deadline - hospitalization,From date of discharge from Hospital,15,DAYS,Reimbursement of hospitalization/day-care/pre-hospitalization expenses,NOT_SPECIFIED_IN_SOURCE,STAR_ASSURE_2026_CIS,14,Section D(2) & E table,"Reimbursement of hospitalization, day care and pre hospitalization expenses: Claim must be filed within 15 days from the date of discharge from the Hospital.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
